study_hours,attendance,previous_marks,assignment_completion,sleep_hours,internal_marks,result
5.8,67.9,64.2,67.0,6.1,59.6,Fail
3.0,65.0,82.0,92.6,8.2,71.2,Pass
6.8,82.1,84.0,80.1,6.4,74.0,Pass
7.2,82.6,43.7,62.4,8.1,69.8,Pass
1.1,93.4,60.3,59.4,7.3,60.7,Fail
2.5,91.2,85.4,45.3,6.4,58.1,Fail
5.5,76.4,72.6,80.2,7.4,61.2,Pass
4.5,63.1,67.9,68.6,7.2,60.4,Fail
5.2,74.2,61.7,32.3,8.0,44.1,Fail
3.4,80.6,59.2,65.4,6.1,61.6,Fail
7.0,75.6,69.3,58.8,6.8,64.7,Pass
6.8,71.1,61.2,100.0,6.7,65.4,Pass
5.3,81.0,64.4,44.3,7.6,60.4,Fail
7.6,72.0,66.2,49.1,5.6,73.2,Pass
6.2,70.5,54.8,95.0,8.0,59.9,Pass
3.4,81.7,73.0,99.4,7.4,62.8,Fail
6.0,73.2,100.0,61.6,5.2,85.8,Pass
3.2,80.9,38.3,63.6,8.2,50.0,Fail
7.0,81.3,69.9,86.1,9.5,64.2,Pass
5.1,64.3,53.6,33.1,8.0,46.0,Fail
4.8,72.2,73.7,41.5,8.5,58.3,Fail
3.8,95.3,65.7,69.9,6.9,61.2,Fail
7.8,64.1,76.4,100.0,4.8,60.2,Pass
4.9,52.6,82.6,67.2,4.6,50.0,Fail
4.3,55.7,67.9,76.8,7.1,49.4,Fail
4.5,78.3,82.0,95.4,6.1,60.9,Fail
6.3,78.4,29.8,100.0,5.7,44.1,Fail
6.0,76.6,88.9,64.6,6.7,74.7,Pass
6.1,92.6,70.6,74.7,7.5,63.7,Pass
6.1,45.9,81.2,100.0,,69.6,Fail
9.7,82.8,46.7,47.6,6.3,45.7,Fail
4.3,96.7,52.5,93.5,8.6,53.4,Fail
4.1,64.5,67.2,56.7,5.5,58.6,Fail
3.5,73.4,64.7,76.8,7.8,60.5,Fail
6.5,69.0,69.2,70.6,6.2,55.9,Fail
7.6,67.3,81.3,57.8,7.5,68.2,Pass
5.0,74.1,38.5,57.3,8.1,61.3,Fail
3.4,95.1,79.6,80.0,7.7,65.3,Fail
3.5,100.0,65.1,92.9,7.9,55.9,Pass
6.6,74.0,61.9,72.7,,58.1,Pass
6.8,100.0,42.9,76.3,8.1,55.7,Pass
6.3,78.4,72.5,85.3,5.8,65.1,Fail
3.8,99.0,28.8,57.5,7.1,40.1,Fail
5.7,76.9,74.7,88.3,7.1,54.8,Fail
5.4,79.6,42.6,89.7,7.4,44.3,Fail
5.7,82.4,65.8,100.0,7.2,63.5,Pass
7.0,100.0,63.2,68.2,5.8,62.0,Pass
5.7,88.2,82.5,66.8,5.2,63.4,Pass
6.6,69.5,62.3,88.8,7.8,60.2,Fail
5.3,89.6,54.6,89.7,7.0,58.9,Pass
5.8,73.7,57.4,65.4,8.2,62.0,Fail
6.5,,84.1,67.7,6.7,67.6,Pass
2.1,88.9,73.0,84.7,5.1,63.3,Pass
4.5,78.4,59.2,60.1,8.0,48.9,Fail
4.2,81.3,61.5,,6.4,59.7,Fail
3.9,78.2,41.5,76.6,7.2,49.5,Pass
4.6,82.0,70.8,92.9,6.0,70.9,Fail
8.3,83.1,38.6,64.1,8.8,57.7,Fail
3.4,54.8,76.3,41.8,5.7,58.0,Fail
7.2,86.0,66.9,40.5,6.4,58.7,Pass
1.7,66.2,100.0,52.3,6.9,65.8,Fail
4.5,60.7,48.5,51.4,5.5,53.4,Fail
5.5,77.3,63.5,72.2,7.2,53.4,Pass
6.4,79.0,92.0,53.6,8.7,65.5,Pass
6.7,69.7,82.9,62.4,6.2,68.5,Fail
6.9,88.0,54.6,61.1,7.3,59.9,Pass
4.5,61.9,68.4,67.1,4.0,49.7,Fail
4.2,73.1,65.0,98.8,6.8,59.9,Fail
7.0,71.0,69.2,86.9,6.4,64.6,Pass
4.8,77.4,54.5,75.3,5.8,36.0,Fail
2.5,81.3,63.7,66.7,8.1,51.2,Fail
2.8,65.9,41.0,67.2,6.4,40.3,Fail
3.3,86.7,67.0,80.9,6.6,57.3,Fail
6.2,78.8,71.8,85.5,6.3,77.1,Fail
5.5,55.3,61.6,58.7,4.5,43.3,Fail
6.7,54.5,40.8,75.7,5.4,41.6,Fail
4.3,77.9,79.8,38.4,8.0,37.9,Pass
5.5,75.3,70.5,78.8,4.3,58.7,Pass
6.5,76.8,54.1,88.7,5.9,55.4,Pass
4.6,77.7,60.8,70.0,6.3,51.3,Fail
6.2,80.7,42.5,100.0,8.9,63.8,Fail
3.8,89.4,49.6,59.1,7.7,55.7,Fail
4.4,64.7,56.9,78.9,6.1,53.8,Fail
4.4,63.9,83.4,74.4,8.4,61.3,Fail
2.7,64.9,55.4,73.2,5.9,56.7,Fail
6.2,81.5,74.6,72.9,8.0,65.3,Pass
4.2,92.9,56.9,76.9,5.2,49.3,Fail
5.2,72.8,68.7,90.3,8.1,48.9,Pass
6.2,48.0,62.9,99.8,6.3,56.7,Fail
6.1,57.6,78.1,75.0,5.6,70.4,Pass
6.6,68.0,57.0,89.7,6.5,77.3,Pass
5.0,71.3,41.4,62.4,7.1,46.0,Fail
4.3,73.1,44.3,88.8,6.2,43.6,Fail
5.0,78.5,57.0,61.3,7.5,43.8,Fail
1.7,74.3,46.3,94.6,6.1,51.3,Fail
2.2,90.6,71.2,100.0,7.5,47.7,Fail
2.4,69.9,58.0,72.8,7.3,54.2,Fail
3.1,67.7,100.0,35.5,6.7,70.6,Pass
6.0,83.7,38.9,65.1,6.3,51.7,Fail
3.3,59.6,68.1,97.2,7.0,56.5,Fail
4.4,82.7,48.1,85.0,7.5,56.8,Fail
7.9,79.2,57.6,79.5,9.3,63.0,Pass
4.5,76.2,67.1,93.2,7.9,55.1,Pass
6.7,97.1,30.1,83.7,8.0,64.7,Pass
3.2,70.5,68.6,96.9,10.0,56.9,Pass
4.8,100.0,93.5,91.5,7.4,82.6,Pass
3.2,75.3,58.2,100.0,7.4,36.6,Fail
4.5,62.7,68.9,81.5,7.6,69.0,Fail
7.0,78.8,80.4,91.3,5.6,83.6,Pass
1.6,65.1,62.5,69.5,6.3,49.4,Fail
6.1,69.0,56.3,64.2,6.2,58.7,Fail
5.7,82.8,30.9,100.0,7.6,53.5,Pass
4.0,84.7,74.6,78.9,6.6,57.5,Pass
2.2,70.5,63.3,89.5,7.0,58.6,Fail
5.4,89.8,49.8,77.2,8.1,47.9,Pass
4.1,91.9,66.9,64.4,7.8,53.3,Pass
5.7,95.2,56.2,75.2,6.6,67.3,Fail
5.2,84.4,57.1,100.0,6.0,68.0,Pass
8.6,94.4,74.1,85.0,8.2,67.2,Pass
4.7,55.4,44.9,44.2,7.7,36.1,Fail
3.1,74.2,80.7,71.1,4.9,56.2,Fail
5.6,67.6,44.0,100.0,6.4,58.8,Pass
5.7,79.4,55.1,71.2,7.0,47.2,Fail
8.1,71.1,93.8,42.6,7.7,74.5,Pass
7.0,76.0,81.9,100.0,7.9,79.5,Pass
5.9,100.0,66.5,87.3,7.1,65.0,Pass
8.3,76.0,50.9,73.7,7.5,66.0,Pass
2.7,83.0,57.1,68.3,6.9,48.3,Fail
3.9,75.2,66.1,94.5,6.0,58.2,Pass
3.3,78.9,65.6,65.2,6.5,46.8,Pass
4.4,78.1,63.6,95.7,6.8,68.4,Pass
2.3,83.4,64.5,84.8,6.8,49.8,Fail
6.5,92.0,61.8,79.4,4.5,65.3,Pass
4.7,97.8,43.4,77.6,6.3,50.8,Pass
